Name,Team,G,PA,HR,R,RBI,SB,BBr,Kr,ISO,BABIP,AVG,OBP,SLG,wOBA,wRCp,BsR,Off,Def,WAR,playerid
Yadier Molina,Cardinals,136,530,4,34,61,3,6.00%,11.10%,0.08,0.295,0.27,0.31,0.35,0.287,80,-2.5,-14.6,10.7,1.3,7007
Freddy Galvis,Phillies,151,603,7,63,50,10,5.00%,17.10%,0.081,0.309,0.263,0.302,0.343,0.283,76,4.6,-12.4,5.9,1.3,6609
Mark Trumbo,- - -,142,545,22,62,64,0,6.60%,24.20%,0.187,0.313,0.262,0.31,0.449,0.327,108,-2.4,2.4,-9.7,1.1,6876
Jace Peterson,Braves,152,597,6,55,52,12,9.40%,20.10%,0.097,0.296,0.239,0.314,0.335,0.287,80,1.3,-12.7,4.2,1.1,12325
Marlon Byrd,- - -,135,544,23,58,73,2,5.30%,26.70%,0.206,0.297,0.247,0.29,0.453,0.317,100,0.6,0.3,-7.8,1,950
Cameron Maybin,Braves,141,555,10,65,59,23,8.10%,18.40%,0.103,0.316,0.267,0.327,0.37,0.307,94,1.5,-2.6,-5.3,1,5223
Michael Taylor,Nationals,138,511,14,49,63,16,6.80%,30.90%,0.129,0.311,0.229,0.282,0.358,0.274,69,-0.5,-18.8,12.3,1,11489
Erick Aybar,Angels,156,638,3,74,44,15,3.90%,11.40%,0.069,0.3,0.27,0.301,0.338,0.28,80,3.4,-11.7,-0.4,1,4082
Starlin Castro,Cubs,151,578,11,52,69,5,3.60%,15.70%,0.11,0.298,0.265,0.296,0.375,0.288,80,-2.1,-15.9,5.4,0.8,4579
Aramis Ramirez,- - -,137,516,17,43,75,1,6.00%,13.20%,0.177,0.253,0.246,0.297,0.423,0.309,93,-7.3,-11.5,2.7,0.8,1002
Brett Lawrie,Athletics,149,602,16,64,60,5,4.70%,23.90%,0.148,0.32,0.26,0.299,0.407,0.306,94,2.4,-1.5,-12.2,0.6,5247
Brandon Moss,- - -,145,526,19,47,58,0,9.30%,28.10%,0.181,0.285,0.226,0.304,0.407,0.308,94,-0.4,-3.9,-7.8,0.6,4467
Jose Reyes,- - -,116,519,7,57,53,24,5.00%,11.90%,0.104,0.301,0.274,0.31,0.378,0.3,80,1.5,-10.3,-1.5,0.5,1736
Torii Hunter,Twins,139,567,22,67,81,2,6.20%,18.50%,0.169,0.258,0.24,0.293,0.409,0.304,90,-0.9,-7.5,-6.5,0.5,731
Matt Kemp,Padres,154,648,23,80,100,12,6.00%,22.70%,0.178,0.311,0.265,0.312,0.443,0.325,109,0.9,8.1,-24.1,0.4,5631
Gerardo Parra,- - -,155,589,14,83,51,14,4.80%,15.60%,0.161,0.325,0.291,0.328,0.452,0.334,108,2,7.4,-22.1,0.4,8553
Wilson Ramos,Nationals,128,504,15,41,68,0,4.20%,20.00%,0.128,0.256,0.229,0.258,0.358,0.265,63,-1.6,-23.5,11.1,0.4,1433
Anthony Gose,Tigers,140,535,5,73,26,23,8.40%,27.10%,0.113,0.352,0.254,0.321,0.367,0.304,90,0.6,-5.8,-8.5,0.4,5097
Joe Mauer,Twins,158,666,10,69,66,2,10.10%,16.80%,0.115,0.309,0.265,0.338,0.38,0.311,94,-3.3,-7.6,-11.7,0.3,1857
Jean Segura,Brewers,142,584,6,57,50,25,2.20%,15.90%,0.079,0.298,0.257,0.281,0.336,0.268,62,3.1,-22.6,6.7,0.3,5933
Jimmy Rollins,Dodgers,144,563,13,71,41,12,7.80%,15.30%,0.133,0.246,0.224,0.285,0.358,0.283,80,-2,-15.2,-0.3,0.2,971
Jay Bruce,Reds,157,649,26,72,87,9,8.90%,22.30%,0.209,0.251,0.226,0.294,0.434,0.309,91,-1.8,-8.3,-11.2,0.1,9892
Evan Gattis,Astros,153,604,27,66,88,0,5.00%,19.70%,0.217,0.264,0.246,0.285,0.463,0.317,99,-3.3,-3.8,-16,0,11003
Nick Castellanos,Tigers,154,595,15,42,73,0,6.60%,25.50%,0.164,0.322,0.255,0.303,0.419,0.311,94,-7.3,-11.3,-9,-0.1,11737
Logan Morrison,Mariners,146,511,17,47,54,8,9.20%,15.90%,0.158,0.238,0.225,0.302,0.383,0.298,90,-0.9,-6.7,-11.9,-0.2,9205
Melky Cabrera,White Sox,158,683,12,70,77,3,5.90%,12.90%,0.121,0.297,0.273,0.314,0.394,0.307,91,-3.3,-10.4,-15,-0.3,4022
Ryan Howard,Phillies,129,503,23,53,77,0,5.40%,27.40%,0.214,0.272,0.229,0.277,0.443,0.308,92,-1.4,-5.8,-13.9,-0.4,2154
Alexei Ramirez,White Sox,154,622,10,54,62,17,5.00%,10.90%,0.108,0.264,0.249,0.285,0.357,0.279,72,-5,-25.3,0.4,-0.5,5133
Angel Pagan,Giants,133,551,3,55,37,12,5.80%,16.90%,0.07,0.31,0.262,0.303,0.332,0.28,81,2.4,-9.7,-12.5,-0.5,2918
Billy Butler,Athletics,151,601,15,63,65,0,8.70%,16.80%,0.139,0.282,0.251,0.323,0.39,0.311,99,-11.1,-12.1,-14.3,-0.7,7399
Avisail Garcia,White Sox,148,601,13,66,59,7,6.00%,23.50%,0.108,0.32,0.257,0.309,0.365,0.295,83,-4.5,-16.1,-13.8,-1.1,5760
Chris Owings,Diamondbacks,147,552,4,59,43,16,4.70%,26.10%,0.095,0.305,0.227,0.264,0.322,0.255,52,4.8,-25.8,-4.6,-1.4,10030
Pablo Sandoval,Red Sox,126,505,10,43,47,0,5.00%,14.50%,0.121,0.27,0.245,0.292,0.366,0.288,75,-5.3,-20,-15.1,-2,5409
